experiment,overall_pass_mean,node_deviation_pct_mean,density_deviation_pct_mean,aspl_deviation_pct_mean,n_components_mean,target_edge_recall_pct_mean,target_edge_precision_pct_mean,attach_recall_pct_mean,attach_precision_pct_mean,degree_emd_mean,new_new_ratio_gen_mean,inference_time_s_mean,overall_pass_std,node_deviation_pct_std,density_deviation_pct_std,aspl_deviation_pct_std,n_components_std,target_edge_recall_pct_std,target_edge_precision_pct_std,attach_recall_pct_std,attach_precision_pct_std,degree_emd_std,new_new_ratio_gen_std,inference_time_s_std
ref_ground_truth,0.9466666666666667,7.556745154210858,10.400931039916271,8.556561590317573,1.6683333333333332,100.0,100.0,100.0,100.0,0.0,0.3375976651098401,7.486007234547288e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage2_ar_gnn,0.9294444444444445,0.3444444444444445,9.004702248339457,11.512266417787538,1.0133333333333334,59.02979794907626,64.54859485623284,57.4134922267334,77.01309401265752,0.23070891919152367,0.34837306866532236,0.15699888515565866,0.00342467444609391,0.0,2.8036800650023084,1.6455340255847044,0.0036004114991153983,0.3752516510011502,1.7323172048172326,5.634789513295419,2.044723836544219,0.014635319662666162,0.02355128091969968,0.001669592236593986
stage2_ar_gnn_basic_feats,0.9500000000000001,0.3444444444444445,10.177703600758859,9.449002363407532,1.0105555555555554,57.102430525380754,62.120861286073115,62.37977453082781,75.73436546741279,0.21757077505531872,0.3066634964443426,0.15599485223911566,0.009813067629253151,0.0,3.0612056941330814,0.5699280490297893,0.003424674446093838,0.2494407359431638,1.8175890434883253,5.423112910237848,2.3270934785302217,0.011507558322884484,0.018078569979917584,0.0006832005540433084
stage2_ar_gnn_bestof16,0.9633333333333334,0.3444444444444445,6.299843032051058,4.676953218768445,1.0072222222222222,58.68332230479073,65.47166287950499,55.88581052378853,77.50072518680297,0.2195208246637461,0.34052449028680437,2.577358309788211,0.0013608276348795068,0.0,0.1566731431171222,0.2306355719339594,0.0020786985482077586,0.0871610025589941,0.07297158041978224,0.1917022824593655,0.16851141503659195,0.001271603860874048,0.003191348727972505,0.029714881459312285
stage2_ar_gnn_bfs_order,0.9511111111111111,0.3444444444444445,8.624264677986703,9.588817220286241,1.0144444444444445,56.1622266915581,61.76389950149482,62.08013650130925,76.21948400060485,0.20939062150868956,0.30295150119857844,0.1575248161273339,0.004374448818895425,0.0,1.9149473601409543,0.8052584915196045,0.001571348402636704,0.47227735383144503,0.9451097826172187,3.1556887004061673,1.4144426502611362,0.003355197076976122,0.013864574095081468,0.0010119272190898282
stage2_ar_gnn_greedy,0.7627777777777777,0.3444444444444445,7.070091967012562,28.53118359986421,1.021111111111111,60.36696810613373,67.5106709921702,40.33685750950816,85.85750923864958,0.3266152636604041,0.5062751253742712,0.157139064929094,0.057418756345352116,0.0,2.4738377062308943,5.460433291906116,0.003424674446093871,0.19716069842163575,1.9001005626956051,5.979718506373261,2.690044046173653,0.017550059666786078,0.031058791669462918,0.0010008405754545796
stage2_ar_gnn_long,0.9355555555555556,0.3444444444444445,9.044990156561845,11.14357557975714,1.0155555555555555,58.92728237582023,64.34656464378956,58.89205606913055,76.97218942759692,0.22325100599434525,0.3372783360433956,0.20026600288767238,0.0034246744460938606,0.0,2.8891463762757454,1.8331162498524218,0.006712803318663567,0.3761190729560624,1.7523175075447532,5.326483885990342,2.573695313731627,0.013403288529925355,0.024209976458681143,0.0011026326318998416
stage2_ar_gnn_long_bestof16,0.9622222222222222,0.3444444444444445,6.243814786359285,4.527772302302728,1.0055555555555555,58.54642662676387,65.33938873832132,56.20931479321029,77.45882820187127,0.21885759784197234,0.3360238823903306,3.2793377086822795,0.0007856742013184173,0.0,0.12711178224500871,0.18193907265966683,0.0007856742013183912,0.10511004722585017,0.11210713111291022,0.28349211809734165,0.35771971747303133,0.002123453790293843,0.005091851422049349,0.02888033230944432
stage2_ar_gnn_single_label,0.9355555555555556,0.3444444444444445,10.039248637443245,10.315008769421956,1.0127777777777778,58.84423638703396,63.85915735949521,59.47518789333,74.33740783543674,0.22034474618633104,0.32083587167593647,0.1561368106449825,0.006849348892187727,0.0,3.103915283954629,1.2783013751119634,0.003424674446093877,0.4726168542428844,1.6176655625804555,4.363669455300591,2.16661392202244,0.009094103191748222,0.009201958519565663,0.0011665133768716711
stage2_rule_baseline,0.9783333333333334,0.3444444444444445,11.748880880036305,6.734960571246901,1.0416666666666667,54.786328166977476,58.639879182045924,40.308564924263955,42.000282872652946,0.4246661303247889,0.20883259269191043,0.0011508186288928198,0.004714045207910314,0.0,2.4521188845547868,0.6662956001330191,0.0,0.5141712847495671,1.5905690256004756,3.4498991403336587,2.3375896689819147,0.023008024817711387,0.02301786095243575,3.363741022888576e-05
stage2_search_baseline,0.9872222222222221,0.3444444444444445,6.7518023777078335,2.1058459399903326,1.0416666666666667,54.639774849648155,60.93045907384637,39.8231129390437,43.35810714506825,0.3970401709574614,0.21379911445467792,0.040289135339529214,0.0015713484026367954,0.0,1.7241580670307812,0.09198588202198475,0.0,0.20203246146854698,0.7263587887834942,1.7893878637854994,0.9722461323217447,0.0016819843348990474,0.01826739632621998,0.0006096132136245747
