name,n_malls,split,reference,type_hit@5,type_precision@5,metric_dist@5,quality@5,type_hit@10,type_precision@10,metric_dist@10,quality@10
stage1_ridge,120,test,model,0.9416666666666668,0.6033333333333334,3.940607969923158,4.749875,0.95,0.6208333333333333,3.803679263549898,4.732192129629629
stage1_lgbm_lambdarank,120,test,model,0.95,0.62,3.44821217279364,4.882999999999999,0.975,0.6091666666666666,3.4243742986196346,4.868629629629629
stage1_rule_knn,120,test,model,0.9333333333333332,0.6183333333333334,3.387146198392331,4.8655,0.975,0.6425,3.4184221860220205,4.864833333333333
stage1_extra_trees,120,test,model,0.9416666666666668,0.6033333333333334,3.583828879140534,4.894833333333334,0.9666666666666668,0.6116666666666667,3.521350461737897,4.890249999999999
ref_random,120,test,random,0.9416666666666668,0.5983333333333334,3.69643435300191,4.457763888888889,0.9916666666666668,0.6058333333333333,3.627117395029833,4.463026455026454
ref_majority,120,test,majority,0.7666666666666667,0.7666666666666667,3.851290629338159,4.426444444444444,0.7666666666666667,0.7666666666666667,3.657776227661787,4.429797619047619
ref_oracle,120,test,oracle,1.0,1.0,3.5335492560154758,4.31075,1.0,1.0,3.424273909833384,4.427140211640212
stage1_deep_residual,120,test,model,0.925,0.6333333333333333,3.574419980630316,4.881,0.9583333333333334,0.6258333333333332,3.540655315804434,4.873083333333333
ref_quality_oracle_upper_bound,120,test,model,0.925,0.6033333333333334,3.5015315637989155,4.897666666666667,0.975,0.6158333333333333,3.4649145391314,4.894916666666668
